tau,QOCO,QOCO-GPU,CuClarabel,Mosek
1.0,0.125,0.6,0.225,0.05
1.0016648244735207,0.125,0.6,0.225,0.05
1.0033324205875689,0.125,0.625,0.25,0.05
1.0050027929564398,0.125,0.625,0.275,0.05
1.0066759462021102,0.125,0.625,0.275,0.05
1.008351884954252,0.125,0.625,0.275,0.05
1.0100306138502446,0.125,0.625,0.275,0.05
1.0117121375351876,0.125,0.625,0.275,0.05
1.0133964606619141,0.125,0.625,0.275,0.05
1.0150835878910032,0.125,0.625,0.275,0.05
1.0167735238907933,0.125,0.625,0.275,0.05
1.0184662733373946,0.125,0.625,0.275,0.05
1.020161840914702,0.125,0.625,0.3,0.05
1.0218602313144087,0.125,0.625,0.3,0.05
1.0235614492360183,0.125,0.625,0.3,0.05
1.0252654993868586,0.125,0.65,0.3,0.05
1.0269723864820943,0.125,0.65,0.3,0.05
1.0286821152447396,0.125,0.65,0.3,0.05
1.030394690405672,0.125,0.65,0.3,0.05
1.032110116703645,0.125,0.65,0.3,0.05
1.0338283988853016,0.125,0.65,0.3,0.05
1.0355495417051865,0.125,0.65,0.3,0.05
1.0372735499257604,0.125,0.675,0.35,0.05
1.0390004283174124,0.125,0.675,0.35,0.05
1.0407301816584738,0.125,0.675,0.35,0.05
1.0424628147352304,0.125,0.675,0.375,0.05
1.0441983323419368,0.125,0.675,0.4,0.05
1.045936739280829,0.125,0.675,0.425,0.05
1.0476780403621382,0.125,0.675,0.475,0.05
1.0494222404041031,0.125,0.675,0.475,0.05
1.0511693442329848,0.125,0.675,0.475,0.05
1.0529193566830786,0.125,0.675,0.475,0.05
1.054672282596728,0.125,0.7,0.475,0.05
1.056428126824339,0.125,0.7,0.5,0.05
1.0581868942243917,0.125,0.7,0.5,0.05
1.0599485896634553,0.125,0.725,0.5,0.05
1.0617132180162008,0.125,0.725,0.5,0.05
1.0634807841654144,0.125,0.725,0.525,0.05
1.065251293002012,0.125,0.725,0.525,0.05
1.067024749425051,0.125,0.725,0.525,0.05
1.0688011583417463,0.125,0.725,0.55,0.05
1.0705805246674809,0.125,0.725,0.55,0.05
1.0723628533258218,0.125,0.725,0.55,0.05
1.074148149248533,0.125,0.75,0.55,0.05
1.075936417375589,0.125,0.75,0.55,0.05
1.077727662655188,0.125,0.75,0.55,0.05
1.0795218900437664,0.125,0.75,0.55,0.05
1.0813191045060127,0.125,0.75,0.55,0.05
1.0831193110148796,0.125,0.75,0.55,0.05
1.0849225145516,0.125,0.75,0.55,0.05
1.086728720105699,0.125,0.75,0.55,0.05
1.0885379326750089,0.125,0.775,0.55,0.05
1.0903501572656817,0.125,0.775,0.55,0.05
1.0921653988922047,0.125,0.775,0.55,0.05
1.0939836625774129,0.125,0.775,0.55,0.05
1.0958049533525036,0.125,0.775,0.55,0.05
1.0976292762570499,0.125,0.8,0.575,0.05
1.0994566363390155,0.125,0.8,0.6,0.05
1.1012870386547673,0.125,0.8,0.6,0.05
1.1031204882690908,0.125,0.8,0.6,0.05
1.1049569902552032,0.125,0.8,0.6,0.05
1.1067965496947678,0.125,0.8,0.6,0.05
1.1086391716779078,0.125,0.8,0.6,0.05
1.110484861303221,0.125,0.8,0.6,0.05
1.1123336236777928,0.125,0.825,0.625,0.05
1.1141854639172113,0.125,0.825,0.625,0.05
1.1160403871455817,0.125,0.825,0.625,0.05
1.117898398495539,0.125,0.825,0.625,0.05
1.119759503108264,0.125,0.825,0.625,0.05
1.121623706133496,0.125,0.825,0.625,0.05
1.1234910127295479,0.125,0.825,0.625,0.05
1.1253614280633206,0.125,0.825,0.625,0.05
1.1272349573103166,0.125,0.825,0.625,0.05
1.1291116056546548,0.125,0.825,0.625,0.05
1.1309913782890848,0.125,0.825,0.625,0.05
1.1328742804150014,0.125,0.85,0.625,0.05
1.1347603172424583,0.125,0.85,0.625,0.05
1.1366494939901837,0.125,0.85,0.625,0.05
1.1385418158855933,0.125,0.85,0.625,0.075
1.1404372881648064,0.125,0.85,0.625,0.075
1.1423359160726585,0.125,0.85,0.625,0.075
1.144237704862718,0.125,0.85,0.625,0.075
1.1461426597972986,0.125,0.85,0.625,0.075
1.1480507861474751,0.125,0.85,0.625,0.075
1.149962089193098,0.125,0.85,0.625,0.075
1.1518765742228076,0.125,0.85,0.625,0.075
1.153794246534049,0.125,0.85,0.625,0.075
1.1557151114330861,0.125,0.85,0.625,0.075
1.1576391742350174,0.125,0.85,0.625,0.075
1.1595664402637902,0.125,0.85,0.625,0.075
